Script,Read,Write,Other,Total,Transactions,Queries,Ignored Errors,Reconnects,Total Time,Total Events,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
query_differences_insert,0,8001,5,8006,2,8006,0,0,9.0212s,2,4194.88,4510.26,4825.63,4855.31,9020.51
query_differences_select_column_prefix,6642,0,0,6642,6642,6642,0,0,8.0011s,6642,1.04,1.20,9.49,1.25,7992.53
query_differences_select_combined_match_with_range,28150,0,0,28150,28150,28150,0,0,8.0007s,28150,0.25,0.28,8.02,0.32,7972.05
query_differences_select_exact_with_prefix,21710,0,0,21710,21710,21710,0,0,8.0007s,21710,0.33,0.37,8.06,0.40,7978.27
query_differences_select_full_match,33252,0,0,33252,33252,33252,0,0,8.0007s,33252,0.21,0.24,8.25,0.27,7968.46
query_differences_select_leftmost_prefix,12737,0,0,12737,12737,12737,0,0,8.0007s,12737,0.57,0.63,8.71,0.65,7987.89
query_differences_select_not_leftmost,2585,0,0,2585,2585,2585,0,0,8.0015s,2585,2.52,3.09,10.67,3.30,7997.61
query_differences_select_range_values,3016,0,0,3016,3016,3016,0,0,8.0028s,3016,2.32,2.65,10.31,2.81,7998.02
query_differences_select_range_with_like,23836,0,0,23836,23836,23836,0,0,8.0007s,23836,0.30,0.33,8.26,0.36,7976.95
query_differences_select_skip_columns,15546,0,0,15546,15546,15546,0,0,8.0009s,15546,0.47,0.51,8.16,0.55,7985.36
