Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_column_insert,1,1,0.00,882.09,0.00,879.09,3.00,0.00,0.00,0.00
int_column_insert,2,1,0.00,802.45,0.00,802.45,0.00,0.00,0.00,0.00
int_column_insert,3,1,0.00,673.02,0.00,673.02,0.00,0.00,0.00,0.00
int_column_insert,4,1,0.00,723.98,0.00,723.98,0.00,0.00,0.00,0.00
int_column_insert,5,1,0.00,659.01,0.00,659.01,0.00,0.00,0.00,0.00
int_column_insert,6,1,1.00,595.01,0.00,593.01,2.00,5409.26,0.00,0.00
int_column_insert,7,1,0.00,702.99,0.00,702.99,0.00,0.00,0.00,0.00
int_column_insert,8,1,0.00,666.02,0.00,666.02,0.00,0.00,0.00,0.00
int_column_insert,9,1,0.00,647.99,0.00,647.99,0.00,0.00,0.00,0.00
int_column_insert,10,1,0.00,639.97,0.00,639.97,0.00,0.00,0.00,0.00
int_column_insert,11,1,0.00,617.98,0.00,617.98,0.00,0.00,0.00,0.00
int_column_select_int_desc_sort,1,1,185.84,185.84,185.84,0.00,0.00,5.67,0.00,0.00
int_column_select_int_desc_sort,2,1,186.06,187.06,187.06,0.00,0.00,5.67,0.00,0.00
int_column_select_int_desc_sort,3,1,179.00,178.00,178.00,0.00,0.00,6.67,0.00,0.00
int_column_select_int_desc_sort,4,1,184.01,184.01,184.01,0.00,0.00,5.77,0.00,0.00
int_column_select_int_desc_sort,5,1,184.99,184.99,184.99,0.00,0.00,5.77,0.00,0.00
int_column_select_int_desc_sort,6,1,188.00,188.00,188.00,0.00,0.00,5.67,0.00,0.00
int_column_select_int_desc_sort,7,1,183.00,183.00,183.00,0.00,0.00,5.67,0.00,0.00
int_column_select_int_desc_sort,8,1,182.00,182.00,182.00,0.00,0.00,5.67,0.00,0.00
int_column_select_int_simple_filter,1,1,4203.12,4203.12,4203.12,0.00,0.00,0.26,0.00,0.00
int_column_select_int_simple_filter,2,1,4229.59,4229.59,4229.59,0.00,0.00,0.26,0.00,0.00
int_column_select_int_simple_filter,3,1,4268.88,4268.88,4268.88,0.00,0.00,0.26,0.00,0.00
int_column_select_int_simple_filter,4,1,4207.50,4207.50,4207.50,0.00,0.00,0.26,0.00,0.00
int_column_select_int_simple_filter,5,1,4221.84,4221.84,4221.84,0.00,0.00,0.26,0.00,0.00
int_column_select_int_simple_filter,6,1,4188.12,4189.12,4189.12,0.00,0.00,0.26,0.00,0.00
int_column_select_int_simple_filter,7,1,4222.00,4221.00,4221.00,0.00,0.00,0.26,0.00,0.00
int_column_select_int_simple_filter,8,1,4230.93,4230.93,4230.93,0.00,0.00,0.26,0.00,0.00
char_column_insert,1,1,0.00,617.38,0.00,614.39,3.00,0.00,0.00,0.00
char_column_insert,2,1,0.00,549.29,0.00,549.29,0.00,0.00,0.00,0.00
char_column_insert,3,1,0.00,567.02,0.00,567.02,0.00,0.00,0.00,0.00
char_column_insert,4,1,0.00,631.00,0.00,631.00,0.00,0.00,0.00,0.00
char_column_insert,5,1,0.00,578.98,0.00,578.98,0.00,0.00,0.00,0.00
char_column_insert,6,1,0.00,837.98,0.00,837.98,0.00,0.00,0.00,0.00
char_column_insert,7,1,1.00,796.00,0.00,794.00,2.00,6247.39,0.00,0.00
char_column_insert,8,1,0.00,802.03,0.00,802.03,0.00,0.00,0.00,0.00
char_column_insert,9,1,0.00,617.01,0.00,617.01,0.00,0.00,0.00,0.00
char_column_insert,10,1,0.00,659.95,0.00,659.95,0.00,0.00,0.00,0.00
char_column_insert,11,1,0.00,758.99,0.00,758.99,0.00,0.00,0.00,0.00
char_column_select_char_desc_sort,1,1,190.79,190.79,190.79,0.00,0.00,5.57,0.00,0.00
char_column_select_char_desc_sort,2,1,192.12,192.12,192.12,0.00,0.00,5.57,0.00,0.00
char_column_select_char_desc_sort,3,1,189.96,189.96,189.96,0.00,0.00,6.43,0.00,0.00
char_column_select_char_desc_sort,4,1,190.97,190.97,190.97,0.00,0.00,5.77,0.00,0.00
char_column_select_char_desc_sort,5,1,193.06,193.06,193.06,0.00,0.00,5.47,0.00,0.00
char_column_select_char_desc_sort,6,1,195.00,195.00,195.00,0.00,0.00,5.37,0.00,0.00
char_column_select_char_desc_sort,7,1,192.93,192.93,192.93,0.00,0.00,5.37,0.00,0.00
char_column_select_char_desc_sort,8,1,192.05,192.05,192.05,0.00,0.00,5.37,0.00,0.00
char_column_select_char_simple_filter,1,1,4146.13,4146.13,4146.13,0.00,0.00,0.26,0.00,0.00
char_column_select_char_simple_filter,2,1,4161.72,4161.72,4161.72,0.00,0.00,0.26,0.00,0.00
char_column_select_char_simple_filter,3,1,4181.84,4181.84,4181.84,0.00,0.00,0.26,0.00,0.00
char_column_select_char_simple_filter,4,1,4161.03,4161.03,4161.03,0.00,0.00,0.27,0.00,0.00
char_column_select_char_simple_filter,5,1,4173.11,4173.11,4173.11,0.00,0.00,0.26,0.00,0.00
char_column_select_char_simple_filter,6,1,4177.13,4177.13,4177.13,0.00,0.00,0.26,0.00,0.00
char_column_select_char_simple_filter,7,1,4207.18,4207.18,4207.18,0.00,0.00,0.26,0.00,0.00
char_column_select_char_simple_filter,8,1,4218.11,4218.11,4218.11,0.00,0.00,0.26,0.00,0.00
