Script,Read (noq),Write (noq),Other (noq),Total (noq),Transactions (per s.),Queries (per s.),Ignored Errors (per s.),Reconnects (per s.),Total Time (s),Total Events,Latency Min (ms),Latency Avg (ms),Latency Max (ms),Latency 95th Percentile (ms),Latency Sum (ms)
null_length_2_insert,0,60915,180609,241524,60,241524,113,0,60.9524s,60,3937.50,4063.42,4141.98,4128.91,243805.15
null_length_2_select_default_null_count_null,1008997,0,0,1008997,1008997,1008997,0,0,60.0012s,1008997,0.12,0.24,17.33,0.35,238830.31
null_length_2_select_default_null_count_query,81541,0,0,81541,81541,81541,0,0,60.0024s,81541,1.48,2.94,22.42,3.13,239904.01
null_length_25_insert,0,52402,156287,208689,52,208689,67,0,60.4112s,52,4588.56,4646.92,4724.59,4683.57,241639.64
null_length_25_select_default_null_count_null,1012584,0,0,1012584,1012584,1012584,0,0,60.0012s,1012584,0.12,0.24,18.81,0.35,238812.37
null_length_25_select_default_null_count_query,105057,0,0,105057,105057,105057,0,0,60.0019s,105057,1.15,2.28,20.78,2.48,239879.43
not_null_insert,0,64861,192543,257404,64,257404,115,0,63.1680s,64,3794.25,3947.94,4148.83,4128.91,252667.88
not_null_select_not_null_count_null,1017442,0,0,1017442,1017442,1017442,0,0,60.0010s,1017442,0.12,0.23,18.21,0.35,238819.91
not_null_select_not_null_count_query,108941,0,0,108941,108941,108941,0,0,60.0019s,108941,1.09,2.20,22.31,2.39,239875.39
