Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
default_null_count_null_2,1,1,5747.69,6866.69,5747.69,1116.00,3.00,0.19,0.00,0.00,1119.00
default_null_count_null_2,2,1,5640.10,6767.57,5640.10,1127.47,0.00,0.20,0.00,0.00,1127.47
default_null_count_null_2,3,1,5833.90,7027.91,5833.90,1194.01,0.00,0.19,0.00,0.00,1194.01
default_null_count_null_2,4,1,5977.64,7103.64,5976.64,1125.00,2.00,3448.72,0.00,0.00,1127.00
default_null_count_null_2,5,1,5983.71,7148.69,5983.71,1164.98,0.00,0.19,0.00,0.00,1164.98
default_null_count_null_2,6,1,6103.35,7233.34,6103.35,1129.99,0.00,0.18,0.00,0.00,1129.99
default_null_count_null_2,7,1,6072.42,7162.45,6072.42,1090.03,0.00,0.19,0.00,0.00,1090.03
default_null_count_query_2,1,1,655.53,1774.53,655.53,1116.00,3.00,1.55,0.00,0.00,1119.00
default_null_count_query_2,2,1,661.13,1788.60,661.13,1127.47,0.00,1.55,0.00,0.00,1127.47
default_null_count_query_2,3,1,658.05,1852.06,658.05,1194.01,0.00,1.55,0.00,0.00,1194.01
default_null_count_query_2,4,1,660.01,1786.01,659.01,1125.00,2.00,3450.08,0.00,0.00,1127.00
default_null_count_query_2,5,1,661.00,1825.98,661.00,1164.98,0.00,1.55,0.00,0.00,1164.98
default_null_count_query_2,6,1,659.94,1789.93,659.94,1129.99,0.00,1.55,0.00,0.00,1129.99
default_null_count_query_2,7,1,660.99,1751.02,660.99,1090.03,0.00,1.55,0.00,0.00,1090.03
default_null_count_query_2,8,1,666.00,1739.01,665.00,1072.01,2.00,3576.51,0.00,0.00,1074.01
default_null_count_null_25,1,1,5973.37,7073.29,5973.37,1096.92,3.00,0.19,0.00,0.00,1099.92
default_null_count_null_25,2,1,6024.44,7086.88,6024.44,1062.44,0.00,0.19,0.00,0.00,1062.44
default_null_count_null_25,3,1,6067.32,7156.38,6067.32,1089.06,0.00,0.19,0.00,0.00,1089.06
default_null_count_null_25,4,1,6008.83,7137.83,6007.83,1128.00,2.00,3640.13,0.00,0.00,1130.00
default_null_count_null_25,5,1,5917.86,7091.93,5917.86,1174.07,0.00,0.19,0.00,0.00,1174.07
default_null_count_null_25,6,1,6015.17,7180.14,6015.17,1164.97,0.00,0.19,0.00,0.00,1164.97
default_null_count_null_25,7,1,5855.58,6958.58,5855.58,1103.00,0.00,0.19,0.00,0.00,1103.00
default_null_count_query_25,1,1,831.47,1931.39,831.47,1096.92,3.00,1.23,0.00,0.00,1099.92
default_null_count_query_25,2,1,845.16,1907.60,845.16,1062.44,0.00,1.21,0.00,0.00,1062.44
default_null_count_query_25,3,1,846.96,1936.02,846.96,1089.06,0.00,1.21,0.00,0.00,1089.06
default_null_count_query_25,4,1,844.00,1973.00,843.00,1128.00,2.00,3641.15,0.00,0.00,1130.00
default_null_count_query_25,5,1,842.05,2016.12,842.05,1174.07,0.00,1.23,0.00,0.00,1174.07
default_null_count_query_25,6,1,847.95,2012.92,847.95,1164.97,0.00,1.21,0.00,0.00,1164.97
default_null_count_query_25,7,1,842.02,1945.02,842.02,1103.00,0.00,1.23,0.00,0.00,1103.00
not_null_count_null,1,1,5956.45,7109.38,5956.45,1149.93,3.00,0.19,0.00,0.00,1152.93
not_null_count_null,2,1,5962.38,7130.93,5962.38,1168.55,0.00,0.19,0.00,0.00,1168.55
not_null_count_null,3,1,5983.87,7173.81,5983.87,1189.94,0.00,0.19,0.00,0.00,1189.94
not_null_count_null,4,1,6022.97,7157.03,6021.97,1133.06,2.00,3448.72,0.00,0.00,1135.06
not_null_count_null,5,1,5862.47,6965.43,5862.47,1102.96,0.00,0.19,0.00,0.00,1102.96
not_null_count_null,6,1,5964.96,7115.94,5964.96,1150.98,0.00,0.19,0.00,0.00,1150.98
not_null_count_null,7,1,6033.99,7169.07,6032.99,1134.07,2.00,3511.38,0.00,0.00,1136.08
not_null_count_query,1,1,865.43,2018.36,865.43,1149.93,3.00,1.18,0.00,0.00,1152.93
not_null_count_query,2,1,872.20,2040.75,872.20,1168.55,0.00,1.18,0.00,0.00,1168.55
not_null_count_query,3,1,866.99,2056.93,866.99,1189.94,0.00,1.18,0.00,0.00,1189.94
not_null_count_query,4,1,875.98,2010.04,874.98,1133.06,2.00,3449.69,0.00,0.00,1135.06
not_null_count_query,5,1,868.03,1970.99,868.03,1102.96,0.00,1.18,0.00,0.00,1102.96
not_null_count_query,6,1,868.99,2019.97,868.99,1150.98,0.00,1.18,0.00,0.00,1150.98
not_null_count_query,7,1,869.99,2005.07,868.99,1134.07,2.00,3512.37,0.00,0.00,1136.08
not_null_count_query,8,1,876.02,1951.99,876.02,1075.97,0.00,1.16,0.00,0.00,1075.97
